DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Ec2_A,Ec2_B,Ec3_A,Ec3_B,Sh_A,Sh_B,Price_sqr_meter,Price
27,3.0,115.02731,80.51912,10.0,4,10.0,2014,0.07542368,11,3097,0,0.0,0,0,0,1,0,1,0,1,2515.9517,305018.88
22,1.0,39.832523,23.169222,8.0,7,8.0,1966,0.11853738,30,6207,1,1183.0,1,0,0,1,0,1,0,1,4006.789,177734.55
1,3.0,78.34222,47.67197,10.0,2,17.0,1988,0.025609156,33,5261,0,240.0,3,1,0,1,0,1,0,1,3694.0894,282078.72
1,1.0,40.40991,28.286936,6.0614867,10,22.0,1977,0.007122317,1,264,0,0.0,0,1,0,1,0,1,0,1,3949.539,168106.0
94,2.0,64.285065,38.562515,9.0,16,16.0,1972,0.28279766,33,8667,2,0.0,0,6,0,1,0,1,0,1,3348.4028,343995.1
99,3.0,62.528465,47.103832,6.0,9,9.0,1972,0.012338886,35,5776,1,2078.0,2,4,0,1,0,1,0,1,4628.343,161044.94
44,1.0,33.93875,21.77293,9.0,1,12.0,1968,0.23220508,24,4860,1,80.0,0,3,0,1,0,1,0,1,4702.604,142402.73
59,2.0,50.391815,32.893257,8.0,8,17.0,1986,0.019508796,37,7687,11,176.0,5,5,0,1,0,1,0,1,4271.5728,326174.2
1,1.0,46.887894,44.62813,7.0331845,12,20.0,1977,0.007122317,1,264,0,0.0,0,1,0,1,0,1,0,1,3403.8748,160400.4
6,3.0,79.86748,75.08513,11.980122,3,17.0,2014,0.24320452,5,1564,0,540.0,0,0,0,1,0,1,0,1,3623.542,194756.03
2,3.0,74.19905,44.73589,10.0,5,14.0,2008,0.035145268,42,9292,3,2620.0,0,3,0,1,0,1,0,1,3900.362,512797.38
88,2.0,53.975143,34.153584,8.0,2,12.0,1978,0.1273759,43,8429,3,0.0,3,9,0,1,0,1,0,1,3987.9893,253124.0
93,1.0,47.56444,23.574423,13.0,9,24.0,2012,0.050900057,43,10621,1,30.0,2,3,0,1,0,1,0,1,3355.4585,199556.86
90,2.0,43.871025,26.114386,5.0,5,9.0,1969,0.26508868,37,5288,0,1937.0,3,2,0,1,0,1,0,1,4906.48,213001.52
36,3.0,81.99479,43.688797,10.0,2,22.0,2008,0.08761909,8,1497,5,0.0,1,0,0,1,0,1,0,1,3529.531,481360.38
96,1.0,36.67341,16.285522,9.0,3,12.0,2003,0.041116353,53,14892,4,0.0,1,4,0,1,0,1,0,1,4351.941,168143.34
48,1.0,44.82525,24.240046,8.0,7,12.0,1981,0.041124634,46,9515,5,0.0,1,10,0,1,0,1,0,1,3560.505,207633.66
8,2.0,49.396,28.2996,5.0,6,5.0,1962,0.4581745,26,4439,1,1130.0,1,5,0,1,1,0,0,1,4357.687,186971.92
1,1.0,47.58248,33.307735,7.1373725,16,16.0,1977,0.007122317,1,264,0,0.0,0,1,0,1,0,1,0,1,3354.1865,128803.59
